12200	Bully: Scholarship Edition
12210	Grand Theft Auto IV
12220	Grand Theft Auto: Episodes from Liberty City
12310	Culpa Innata
12320	Sacred Gold
12330	Darkstar One
12340	Jack Keane
12360	FlatOut: Ultimate Carnage
12390	Exodus from the Earth 
12420	Perimeter 2: New Earth
12430	SlamIt Pinball Big Score
12440	Ankh 2: Heart of Osiris 
12450	Ankh 3: Battle of the Gods
12460	BC Kings
12470	Port Royale 2
12480	9th Company: Roots Of Terror
12500	PuzzleQuest: Challenge of the Warlords
12510	Prison Tycoon 3™: Lockdown
12520	18 Wheels of Steel: American Long Haul
12530	Hunting Unlimited™ 2008
12560	Ride! Carnival Tycoon
12570	Hot Dish
12580	Dr. Daisy Pet Vet
12590	Sprint Cars Road to Knoxville
12600	Midnight Outlaw: 6 Hours to SunUp
12640	Drakensang
12650	Fetch It Again
12660	Miss Popularity
12670	Mission Runway
12690	Hunting Unlimited 2010
12710	Overlord™: Raising Hell
12790	Damnation
12810	Overlord II
12830	Operation Flashpoint: Dragon Rising
12900	AudioSurf
13000	Ninja Reflex: Steamworks Edition
13140	America's Army 3
13200	Unreal 2: The Awakening
13210	Unreal Tournament 3 Black
13230	Unreal Tournament 2004: Editor's Choice Edition
13240	Unreal Tournament: Game of the Year Edition
13250	Unreal Gold
13500	Prince of Persia: Warrior Within&trade;
13520	Far Cry®
13530	Prince of Persia: The Two Thrones&trade;
13540	Tom Clancy's Rainbow Six&reg; Vegas
13560	Tom Clancy's Splinter Cell®
13570	Tom Clancy's Splinter Cell Chaos Theory®
13580	Tom Clancy's Splinter Cell Double Agent®
13600	Prince of Persia&reg;: The Sands of Time
13620	Tom Clancy's Ghost Recon&reg; Desert Siege&trade;
15000	Tom Clancy's Rainbow Six Lockdown&trade;
15080	Rayman Raving Rabbids&trade;
15100	Assassin's Creed™: Director's Cut Edition
15120	Tom Clancy's Rainbow Six® Vegas 2
15130	Beyond Good and Evil&trade;
15170	Heroes of Might &amp; Magic V
15190	Brothers in Arms: Road to Hill 30™
15200	Silent Hunter®: Wolves of the Pacific
15210	Silent Hunter&reg; III
15240	Silent Hunter®: Wolves of the Pacific U-Boat Missions
15270	Cold Fear&trade;
15300	Tom Clancy's Ghost Recon®
15320	IL-2 Sturmovik: 1946
15370	Heroes of Might &amp; Magic V: Tribes of the East
15390	Brothers in Arms: Hell's Highway™
15400	Harvest: Massive Encounter
15500	The Wonderful End of the World
15520	AaAaAA!!! - A Reckless Disregard for Gravity
15540	1... 2... 3... KICK IT! (Drop That Beat Like an Ugly Baby)
15560	AaaaaAAaaaAAAaaAAAAaAAAAA!!! for the Awesome
15620	Warhammer 40,000: Dawn of War II
15700	Oddworld: Abe's Oddysee®
15710	Oddworld: Abe's Exoddus®
15740	Oddworld: Munch's Oddysee
15750	Oddworld: Stranger's Wrath HD
15800	Planet Busters
15900	7 Wonders II
15910	Luxor Amun Rising
15920	Luxor 2
15930	Luxor 3
15960	Little Farm
15970	Luxor
16000	Discovery! A Seek and Find Adventure
16040	Luxor: Quest for the Afterlife 
16060	Samantha Swift and the Golden Touch
16100	Virtual Villagers: A New Home
16110	Virtual Villagers: The Lost Children
16120	Plant Tycoon
16130	Fish Tycoon
16180	Virtual Villagers - The Secret City
16200	Virtual Families
16300	Everyday Shooter
16450	F.E.A.R. 2: Project Origin
16600	Trials 2: Second Edition
16620	Monster Trucks Nitro 
16710	Insecticide Part 1
16720	Velvet Assassin
16730	Legendary
16810	Sid Meier's Civilization IV: Colonization
16900	GROUND BRANCH
17080	Tribes: Ascend
17100	Children of the Nile: Enhanced Edition
17120	Children of the Nile: Alexandria
17140	Hinterland
17180	Mosby's Confederacy
17300	Crysis
17330	Crysis Warhead®
17390	SPORE™
17410	Mirror's Edge™
17430	Need for Speed Undercover
17440	SPORE&trade; Creepy & Cute Parts Pack
17450	Dragon Age: Origins
17460	Mass Effect
17470	Dead Space
17480	Command &amp; Conquer: Red Alert 3
17500	Zombie Panic! Source
17570	Pirates, Vikings, and Knights II
17580	Dystopia
18000	Precipice of Darkness, Episode One
18020	Precipice of Darkness, Episode Two
18040	DeathSpank
18050	DeathSpank: Thongs of Virtue
18070	The Baconing
18120	Unstoppable Gorg
18300	Spectraball
18400	Crazy Machines 2
18420	Crazy Machines
18430	Crazy Machines 1.5
18470	Helldorado
18480	Mata Hari
18500	Defense Grid: The Awakening
18600	Mayhem Intergalactic
18700	And Yet It Moves
18820	Zero Gear
19000	Silent Hill Homecoming
19020	Puzzle Chronicles
19030	Rocket Knight
19080	Biozone
19200	Tank Universal
19320	Space Ark
19800	Brothers in Arms: Earned in Blood™
19810	The Sum of All Fears
19830	Tom Clancy's Rainbow Six® 3 Gold
19900	Far Cry® 2: Fortune's Edition
19980	Prince of Persia®
20200	Galactic Bowling
20500	Red Faction Guerrilla Steam Edition
20510	S.T.A.L.K.E.R.: Clear Sky
20540	Company of Heroes: Tales of Valor
20550	Red Faction II
20570	Warhammer® 40,000: Dawn of War® II Chaos Rising
20700	Starscape
20710	Mr. Robot
20820	Shatter
20900	The Witcher: Enhanced Edition Director's Cut
20920	The Witcher 2: Assassins of Kings Enhanced Edition
21000	LEGO® Batman™: The Videogame
21010	Watchmen: The End is Nigh
21030	Watchmen: The End is Nigh Part 2
21090	F.E.A.R.
21100	F.E.A.R. 3
21130	LEGO® Harry Potter: Years 1-4
21300	Gravitron 2
21400	Project Aftermath
21500	Pyroblazer&reg;
21640	Flock!
21660	Street Fighter® IV
21670	Bionic Commando
21680	Bionic Commando: Rearmed
21690	Resident Evil™ 5/ Biohazard 5®
21780	Driver&reg; Parallel Lines
21980	Call of Juarez®: Bound in Blood
22000	World of Goo
22100	Mount &amp; Blade
22120	Penumbra: Black Plague Gold Edition
22130	Hearts of Iron 2 Complete
22140	Penumbra: Requiem
22180	Penumbra Overture
22200	Zeno Clash
22230	Rock of Ages
22300	Fallout 3
22310	Rogue Warrior
22320	The Elder Scrolls III: Morrowind® Game of the Year Edition
22330	The Elder Scrolls IV: Oblivion® Game of the Year Edition
22340	Call of Cthulhu®: Dark Corners of the Earth
22350	BRINK
22370	Fallout 3: Game of the Year Edition
22380	Fallout: New Vegas
22450	Hunted: The Demon’s Forge™
22500	Spectromancer
22600	Worms Reloaded
22610	Alien Breed: Impact
22650	Alien Breed 2: Assault
22670	Alien Breed 3: Descent
23150	Fluttabyes
23300	Yosumin!™
23310	The Last Remnant™
23380	Gyromancer
23400	Imperium Romanum Gold Edition
23420	Europa Universalis: Rome - Gold Edition 
23450	Grand Ages: Rome
23455	Grand Ages: Rome - Reign of Augustus
23460	Ceville
23490	Tropico 3
23500	Puzzle Quest: Galactrix
23530	Earth Defense Force: Insect Armageddon
23600	Depths of Peril
23700	Puzzle Kingdoms
24010	Train Simulator 2019
24200	DC Universe™ Online
24240	PAYDAY™ The Heist
24400	King Arthur - The Role-playing Wargame
24410	Crusaders: Thy Kingdom Come
24420	Aquaria
24640	Trainz: Classic Cabon City
24650	Trainz Settle and Carlisle
24660	Trainz: Murchison 2
24670	Trainz™ Simulator 12
24720	SPORE™ Galactic Adventures
24740	Burnout Paradise: The Ultimate Box
24780	SimCity™ 4 Deluxe Edition
24790	Command &amp; Conquer 3: Tiberium Wars
24800	Command & Conquer: Red Alert 3 - Uprising
24810	Command &amp; Conquer 3: Kane's Wrath
24840	Medal of Honor: Airborne
24870	Need for Speed: Shift
24960	Battlefield: Bad Company™ 2
24980	Mass Effect 2
25000	Overgrowth
25010	Lugaru HD
25500	Cricket Revolution
25600	Eschalon: Book I
25620	Eschalon: Book II
25700	Madballs in Babo:Invasion 
25800	Europa Universalis III Complete
25808	Europa Universalis III: Divine Wind
25830	Knights of Honor
25850	Elven Legacy
25890	Hearts of Iron III
25900	King's Bounty: The Legend
25910	Supreme Ruler 2020 Gold
25930	East India Company
25980	Majesty 2
25990	Majesty Gold HD
26000	The Maw
26300	Drug Wars
26500	Cogs
26800	Braid
26900	Crayon Physics Deluxe
27000	The Path
27020	The Graveyard
27050	Fatale
27200	Summer Athletics
27330	Blacklight: Tango Down
27400	Dangerous High School Girls in Trouble!&trade;
27600	Mevo and The Grooveriders
27800	Space Giraffe
27810	Gridrunner Revolution
27900	Twin Sector
27920	Booster Trooper
27940	Dead Horde
28000	Kane &amp; Lynch 2: Dog Days
29120	Yumsters 2: Around the World
29130	Musaic Box
29160	Blueberry Garden
29180	Osmos
29540	Guild Wars<sup>&reg;</sup> Game of the Year Edition
29560	Guild Wars Factions<sup>&reg;</sup>
29570	Guild Wars Trilogy
29580	Guild Wars Nightfall<sup>&reg;</sup>
29700	Guild Wars: Eye of the North&reg;
29900	Dark Sector
31170	Tales of Monkey Island Complete Pack
31190	Tales of Monkey Island Complete Pack: Chapter 3 - Lair of the Leviathan
31200	Tales of Monkey Island Complete Pack: Chapter 4 - The Trial and Execution of Guybrush Threepwood
31210	Tales of Monkey Island Complete Pack: Chapter 5 - Rise of the Pirate God
31220	Sam &amp; Max 301: The Penal Zone
31230	Sam &amp; Max 302: The Tomb of Sammun-Mak
31240	Sam &amp; Max 303: They Stole Max's Brain!
31250	Sam &amp; Max 304: Beyond the Alley of the Dolls
31260	Sam &amp; Max 305: The City That Dares Not Sleep
31270	Puzzle Agent
31280	Poker Night at the Inventory
31290	Back to the Future: The Game
31300	Tunnel Rats
31700	Iron Grip: Warlord
31800	Nancy Drew®: Danger by Design
31810	Nancy Drew®: Last Train to Blue Moon Canyon
31820	Nancy Drew®: The Haunted Carousel
31830	Nancy Drew®: Curse of Blackmoor Manor
31840	Nancy Drew®: Danger on Deception Island
31850	Nancy Drew®: Ghost Dogs of Moon Lake
31860	Nancy Drew®: Legend of the Crystal Skull
31870	Nancy Drew® Dossier: Lights, Camera, Curses!
31890	Nancy Drew®: Secret of the Scarlet Hand
31900	Nancy Drew®: The Creature of Kapu Cave
31910	Nancy Drew®: The Haunting of Castle Malloy
31920	Nancy Drew®: The Phantom of Venice
31930	Nancy Drew®: The White Wolf of Icicle Creek
31980	Nancy Drew®: Ransom of the Seven Ships
32000	Raycatcher
32110	LUXOR: Mah Jong
32120	Chainz 2: Relinked
32140	Midnight Mysteries
32150	Everyday Genius: SquareLogic
32160	Zombie Bowl-o-Rama
32200	Metal Drift
32310	Indiana Jones® and the Last Crusade™
32330	LEGO® Indiana Jones™: The Original Adventures
32340	LOOM™
32350	STAR WARS™ Starfighter™
32360	The Secret of Monkey Island: Special Edition
32370	STAR WARS™ - Knights of the Old Republic™
32380	STAR WARS™ Jedi Knight: Dark Forces II
32390	STAR WARS™ Jedi Knight - Mysteries of the Sith™
32400	STAR WARS™ - Dark Forces
32410	Lucidity™
32420	STAR WARS™: The Clone Wars - Republic Heroes™
32430	STAR WARS™ - The Force Unleashed™ Ultimate Sith Edition
32440	LEGO® Star Wars™ - The Complete Saga
32450	LEGO® Indiana Jones™ 2: The Adventure Continues
32460	Monkey Island™ 2 Special Edition: LeChuck’s Revenge™
32470	STAR WARS™ Empire at War - Gold Pack
32500	STAR WARS™: The Force Unleashed™ II
32510	LEGO® Star Wars™ III - The Clone Wars™
32610	Delta Force Xtreme 2
32620	Delta Force
32630	Delta Force 2
32640	Delta Force Land Warrior
32650	Delta Force: Task Force Dagger
32660	Delta Force: Xtreme
32670	Delta Force: Black Hawk Down
32680	Delta Force — Black Hawk Down: Team Sabre
32710	Armored Fist 3
32720	F-16 Multirole Fighter
32730	F-22 Lightning 3
32740	MiG-29 Fulcrum
32770	Joint Operations: Combined Arms Gold
32800	Lord of the Rings: War in the North
32900	Restaurant Empire II
33100	Alien Shooter
33110	Alien Shooter: Revisited
33120	Alien Shooter 2: Reloaded
33130	Zombie Shooter
33180	Zombie Shooter 2
33210	Dawn of Discovery™
33230	Assassin's Creed 2 Deluxe Edition
33320	Prince of Persia: The Forgotten Sands™
33390	Zeit²
33460	From Dust
33520	Tropico Reloaded
33570	Patrician III
33580	The Great Art Race
33600	Broken Sword 2 - the Smoking Mirror: Remastered
33610	Broken Sword 3 - the Sleeping Dragon
33620	Crash Time 3
33650	Puzzler World
33660	Ziro
33670	Disciples III - Renaissance Steam Special Edition
33680	eversion
33710	Paws and Claws: Pet School
33720	Paws and Claws: Pet Vet
33730	18 Wheels of Steel: Extreme Trucker
33750	Prison Tycoon 4: SuperMax
33760	The Search for Amelia Earhart
33770	Drakensang: The River of Time
33790	Elizabeth Find M.D. - Diagnosis Mystery - Season 2
33900	Arma 2
33930	Arma 2: Operation Arrowhead
33950	Fish Fillets 2
33980	Pound of Ground
33990	Alternativa
34010	Alpha Protocol™
34030	Total War: NAPOLEON – Definitive Edition
34180	Vancouver 2010&trade; - The Official Video Game of the Olympic Winter Games
34190	Sonic &amp; SEGA All-Stars Racing
34270	SEGA Mega Drive and Genesis Classics
34272	Comix Zone™
34273	Crack Down™
34274	Ecco the Dolphin™
34275	Gain Ground™
34276	Golden Axe™
34277	Shinobi™ III: Return of the Ninja Master
34279	Space Harrier™ II
34280	VectorMan™
34281	Altered Beast™
34282	Shadow Dancer™
34283	Alex Kidd™ in the Enchanted Castle
34284	Bonanza Bros.™
34285	Columns™
34286	Dr. Robotnik’s Mean Bean Machine™
34287	Ecco™ Jr.
34288	Eternal Champions™
34289	Fatal Labyrinth™
34310	Galaxy Force II™
34311	Kid Chameleon™
34312	Ristar™
34313	Sonic Spinball™
34314	Super Thunder Blade™
34315	Alien Storm
34316	Bio-Hazard Battle™
34317	Columns™ III
34318	Decap Attack™
34319	Ecco™: The Tides of Time
34410	Death to Spies: Moment of Truth
34420	XIII Century – Gold Edition
34500	Light of Altair
34600	Order of War™
34630	Massive Assault
34800	Chronicles of Mystery: The Scorpio Ritual
34810	Project Freedom
34820	Combat Wings: Battle of Britain
34830	Sniper: Ghost Warrior
34870	Sniper: Ghost Warrior 2
34900	Bad Rats: the Rats' Revenge
34920	Razor2: Hidden Skies
35000	Mini Ninjas
35070	Flora's Fruit Farm
35130	Lara Croft and the Guardian of Light
35140	Batman: Arkham Asylum Game of the Year Edition
35300	Warfare
35320	Insane 2
35450	Red Orchestra 2: Heroes of Stalingrad with Rising Storm
35460	The Ball
35480	Dwarfs!?
35600	Big Brain Wolf
35700	Trine Enchanted Edition
35720	Trine 2: Complete Story
35800	BRAINPIPE: A Plunge to Unhumanity
36000	Foreign Legion: Buckets of Blood
36130	Tradewinds Caravans + Odyssey Pack
36150	Westward Collection
36180	Cake Mania Collection
36210	Monster Mash
36240	Kuros
36300	Cake Mania Main Street&trade;
36310	Westward&reg; IV: All Aboard
36900	Angle of Attack
36910	All Aspect Warfare
37000	The Void
37010	Ninja Blade
37030	UFO: Extraterrestrials Gold
37100	Aztaka
37210	Chocolatier®: Decadence by Design™
37220	Cooking Dash®
37230	Diaper Dash&reg;
37240	Diner Dash:® Hometown Hero™
37260	Emerald City Confidential™
37270	Wandering Willows™
37280	Wedding Dash® 2: Rings Around the World
37300	DinerTown Tycoon
37310	DinerTown Detective Agency™
37320	The Nightshift Code&trade;
37330	Nightshift Legacy: The Jaguar's Eye&trade;
37340	Fitness Dash&trade;
37370	TriJinx: A Kristine Kross Mystery™
37380	Valerie Porter and the Scarlet Scandal™
37400	Time Gentlemen, Please! and Ben There, Dan That! Special Edition  Double Pack
37500	Magnetis 
37700	Darkest of Days
37800	Quantz
37960	Jewel Quest Pack
38000	Mahjong Quest Collection
38070	Coconut Queen
38080	Build-A-Lot
38090	Build-A-Lot 2: Town of the Year
38100	Build-A-Lot 3: Passport to Europe
38110	Build-A-Lot 4: Power Source
38130	Farm Frenzy 2
38150	Farm Frenzy 3
38160	Farm Frenzy 3: American Pie
38170	Cradle of Rome
38180	Cradle of Persia
38190	Romance of Rome
38210	Roogoo
38230	Hotel Giant 2
38400	Fallout: A Post Nuclear Role Playing Game
38410	Fallout 2: A Post Nuclear Role Playing Game
38420	Fallout Tactics: Brotherhood of Steel
38430	Kingpin — Life of Crime
38440	Sacrifice
38460	MDK 2
38490	Earthworm Jim 2
38600	Faerie Solitaire
38700	Toki Tori
38720	RUSH
38740	EDGE
39000	Moonbase Alpha
39110	SEASON OF MYSTERY: The Cherry Blossom Murders
39120	RIFT
39140	FINAL FANTASY VII
39150	FINAL FANTASY VIII
39160	Dungeon Siege III
39190	Dungeon Siege
39200	Dungeon Siege II
39210	FINAL FANTASY XIV Online
39500	Gothic® 3
39510	Gothic II: Gold Edition
39520	The Guild Gold Edition
39530	Painkiller: Black Edition
39540	SpellForce - Platinum Edition
39550	SpellForce 2 - Anniversary Edition
39560	Painkiller: Resurrection
39630	AquaNox
39640	AquaNox 2: Revelation
39650	The Guild II
39670	Chaser
39680	The Guild II Renaissance
39690	ArcaniA
39800	Nation Red
40100	Supreme Commander 2
40210	ItzaZoo
40300	Risen
40330	Secret Files: Tunguska
40340	Secret Files 2: Puritas Cordis
40350	Lost Horizon
40380	nail'd
40390	Risen 2: Dark Waters
40400	AI War: Fleet Command
40420	Tidalis
40500	Sacraboar
40700	Machinarium
40720	Samorost 2
40800	Super Meat Boy
40930	The Misadventures of P.B. Winterbottom
40950	Stronghold HD
40960	Stronghold 2: Steam Edition
40970	Stronghold Crusader HD
40980	Stronghold Legends: Steam Edition
40990	Mafia
41000	Serious Sam HD: The First Encounter
41014	Serious Sam HD: The Second Encounter
41050	Serious Sam Classic: The First Encounter
41060	Serious Sam Classic: The Second Encounter
41070	Serious Sam 3: BFE
41100	Hammerfight
41300	Altitude
41400	Doom Rails
41500	Torchlight
41600	Earthworm Jim 3D
41660	Tommy Tronic
41680	Death and the Fly
41700	S.T.A.L.K.E.R.: Call of Pripyat
41730	Ion Assault
41740	Cargo! The Quest for Gravity
41900	The Bard's Tale
42120	Lead and Gold: Gangs of the Wild West
42140	Hamilton's Great Adventure
42147	Hamilton's Great Adventure - Retro Fever DLC
42170	Krater
